Razón social del permisionario,Número de permiso,Fecha de inicio de vigencia,Modalidad de permiso,Energía autorizada a importar o exportar GW-h/Año,Entidad federativa punto de entrega o recepción,Estado actual,Denominación del permiso de importación o exportac,Fecha de validación,Año,Fecha de Actualización
"Flextronics Technologies San Luis, S. A. de C. V.",E/31/IMP/96,04/03/1996,Importación,4.6,Sonora,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Bos‚, S. A. de C. V.E/31/IMP/96",30/04/2018,2018,31/03/2018
"GPI Mexicana, S. A. de C. V.",E/102/IMP/98,22/07/1998,Importación,8,Sonora,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a GPI Mexicana, S. A. de C. V.E/102/IMP/98",30/04/2018,2018,31/03/2018
"Enviroquip, S. de R. L. de C. V.",E/132/IMP/99,08/02/1999,Importación,11.7,Sonora,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Enviroquip, S. de R. L. de C. V.E/132/IMP/99",30/04/2018,2018,31/03/2018
"Termoel‚ctrica de Mexicali, S. de R. L. de C. V.",E/195/IMP/2001,01/06/2001,Importación,2,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Termoel‚ctrica de Mexicali, S. de R. L. de C. V.E/195/IMP/2001",30/04/2018,2018,31/03/2018
"Termoel‚ctrica de Mexicali, S. de R. L. de C. V.",E/197/EXP/2001,09/08/2001,Exportación,5835,Baja California,En operación,"Titulo de Permiso de Exportación de energ¡a el‚ctrica otorgado a Termoel‚ctrica de Mexicali, S. de R. L. de C. V.E/197/EXP/2001",30/04/2018,2018,31/03/2018
"Energ¡a de Baja California, S. de R. L. de C. V.",E/200/EXP/2001,25/09/2001,Exportación,2952,Baja California,En operación,"Titulo de Permiso de Exportación de energ¡a el‚ctrica otorgado a Energ¡a de Baja California, S. de R. L. de C. V.E/200/EXP/2001",30/04/2018,2018,31/03/2018
"Energ¡a de Baja California, S. de R. L. de C. V.",E/212/IMP/2002,22/04/2002,Importación,6,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Energ¡a de Baja California, S. de R. L. de C. V.E/212/IMP/2002",30/04/2018,2018,31/03/2018
"AES M‚rida III, S. de R. L. de C. V.",E/219/EXP/2002,24/10/2002,Exportación,39.4,Yucat n,En operación,"Titulo de Permiso de Exportación de energ¡a el‚ctrica otorgado a AES M‚rida III, S. de R. L. de C. V.E/219/EXP/2002",30/04/2018,2018,31/03/2018
"Energ¡a Azteca X, S. A. de C. V.",E/255/IMP/2003,05/06/2003,Importación,5,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Energ¡a Azteca X, S. A. de C. V.E/255/IMP/2003",30/04/2018,2018,31/03/2018
"Ddcam M‚xico, S. A. de C. V.",E/257/IMP/2003,10/07/2003,Importación,13.3,Sonora,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Ddcam M‚xico, S. A. de C. V.E/257/IMP/2003",30/04/2018,2018,31/03/2018
"Kenworth Mexicana, S. A. de C. V.",E/270/IMP/2003,30/10/2003,Importación,80,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Kenworth Mexicana, S. A. de C. V.E/270/IMP/2003",30/04/2018,2018,31/03/2018
"Industrias Zahori, S. A. de C. V.",E/275/IMP/2003,30/10/2003,Importación,26.28,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Industrias Zahori, S. A. de C. V.E/275/IMP/2003",30/04/2018,2018,31/03/2018
"Envases de Vidrio, S. A. de C. V.",E/277/IMP/2003,04/11/2003,Importación,161,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Envases de Vidrio, S. A. de C. V.E/277/IMP/2003",30/04/2018,2018,31/03/2018
"Rheem Mexicali, S. de R. L. de C. V.",E/281/IMP/2003,18/11/2003,Importación,10.5,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Rheem Mexicali, S. de R. L. de C. V.E/281/IMP/2003",30/04/2018,2018,31/03/2018
"Simec International 6, S. A. de C. V.",E/283/IMP/2003,27/11/2003,Importación,5.67,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Simec International 6, S. A. de C. V.E/283/IMP/2003",30/04/2018,2018,31/03/2018
"Wabash Technologies de M‚xico, S. de R. L. de C. V.",E/284/IMP/2003,27/11/2003,Importación,11,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Wabash Technologies de M‚xico, S. de R. L. de C. V.E/284/IMP/2003",30/04/2018,2018,31/03/2018
"Rectificadores Internacionales, S. A. de C. V.",E/326/IMP/2005,02/06/2005,Importación,30,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Rectificadores Internacionales, S. A. de C. V.E/326/IMP/2005",30/04/2018,2018,31/03/2018
"Nellcor Puritan Bennett M‚xico, S. A. de C. V.",E/351/IMP/2005,01/09/2005,Importación,87.6,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Nellcor Puritan Bennett M‚xico, S. A. de C. V.E/351/IMP/2005",30/04/2018,2018,31/03/2018
"Jumex Mexicali, S. A. de C. V.",E/429/IMP/2005,21/10/2005,Importación,0.01,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Jumex Mexicali, S. A. de C. V.E/429/IMP/2005",30/04/2018,2018,31/03/2018
"Mueblex de Baja California, S. A. de C. V.",E/536/IMP/2006,03/08/2006,Importación,5,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Mueblex de Baja California, S. A. de C. V.E/536/IMP/2006",30/04/2018,2018,31/03/2018
"Rassini, S. A. de C. V.",E/604/IMP/2007,15/03/2007,Importación,60,Coahuila,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Rassini, S. A. de C. V.E/604/IMP/2007",30/04/2018,2018,31/03/2018
"Vidrio y Cristal del Noroeste, S. A. de C. V.",E/909/IMP/2011,16/11/2011,Importación,87.5,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Vidrio y Cristal del Noroeste, S. A. de C. V.E/909/IMP/2011",30/04/2018,2018,31/03/2018
"Interiores A‚reos, S. A. de C. V.",E/916/IMP/2012,12/01/2012,Importación,52.5,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Interiores A‚reos, S. A. de C. V.E/916/IMP/2012",30/04/2018,2018,31/03/2018
"Skyworks Solutions de M‚xico, S. de R. L. de C. V.",E/917/IMP/2012,26/01/2012,Importación,87.5,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Skyworks Solutions de M‚xico, S. de R. L. de C. V.E/917/IMP/2012",30/04/2018,2018,31/03/2018
"Productos Urólogos de M‚xico, S. A. de C. V.",E/919/IMP/2012,02/02/2012,Importación,52,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Productos Urólogos de M‚xico, S. A. de C. V.E/919/IMP/2012",30/04/2018,2018,31/03/2018
"Sistemas M‚dicos Alaris, S. A. de C. V.",E/923/IMP/2012,29/03/2012,Importación,26.2,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Sistemas M‚dicos Alaris, S. A. de C. V.E/923/IMP/2012",30/04/2018,2018,31/03/2018
"Cer mica San Lorenzo de M‚xico, S. A. de C. V.",E/927/IMP/2012,10/05/2012,Importación,26.2,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Cer mica San Lorenzo de M‚xico, S. A. de C. V.E/927/IMP/2012",30/04/2018,2018,31/03/2018
"Spectrum Brands HHI M‚xico, S. de R. L. de C. V.",E/928/IMP/2012,10/05/2012,Importación,26.28,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Spectrum Brands HHI M‚xico, S. de R. L. de C. V.E/928/IMP/2012",30/04/2018,2018,31/03/2018
"F brica de Papel San Francisco, S. A. de C. V.",E/931/IMP/2012,31/05/2012,Importación,350.4,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a F brica de Papel San Francisco, S. A. de C. V.E/931/IMP/2012",30/04/2018,2018,31/03/2018
"Energ¡a Sierra Ju rez, S. de R. L. de C. V.",E/932/EXP/2012,14/06/2012,Exportación,457,Baja California,En operación,"Titulo de Permiso de Exportación de energ¡a el‚ctrica otorgado a Energ¡a Sierra Ju rez, S. de R. L. de C. V.E/932/EXP/2012",30/04/2018,2018,31/03/2018
"Energ¡a Sierra Ju rez, S. de R. L. de C. V.",E/933/IMP/2012,14/06/2012,Importación,3,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Energ¡a Sierra Ju rez, S. de R. L. de C. V.E/933/IMP/2012",30/04/2018,2018,31/03/2018
"Avery Products, S. de R. L. de C. V.",E/943/IMP/2012,23/08/2012,Importación,26.3,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Avery Products, S. de R. L. de C. V.E/943/IMP/2012",30/04/2018,2018,31/03/2018
"Especialidades M‚dicas Kenmex, S. A. de C. V.",E/944/IMP/2012,30/08/2012,Importación,52.5,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Especialidades M‚dicas Kenmex, S. A. de C. V.E/944/IMP/2012",30/04/2018,2018,31/03/2018
"Tiendas Soriana, S. A. de C. V.",E/966/IMP/2012,29/11/2012,Importación,13.099,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Tiendas Soriana, S. A. de C. V.E/966/IMP/2012",30/04/2018,2018,31/03/2018
"Tiendas Soriana, S. A. de C. V.",E/985/IMP/2013,07/03/2013,Importación,9.691,Baja California,En construcción,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Tiendas Soriana, S. A. de C. V.E/985/IMP/2013",30/04/2018,2018,31/03/2018
"Sukarne Agroindustrial, S. A. de C. V.",E/1001/IMP/2013,16/05/2013,Importación,26.28,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Sukarne Agroindustrial, S. A. de C. V.E/1001/IMP/2013",30/04/2018,2018,31/03/2018
"Tiendas Soriana, S. A. de C. V.",E/1007/IMP/2013,27/06/2013,Importación,15.088,Baja California,En construcción,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Tiendas Soriana, S. A. de C. V.E/1007/IMP/2013",30/04/2018,2018,31/03/2018
"Fevisa Industrial, S. A. de C. V.",E/1040/IMP/2013,03/10/2013,Importación,87.6,San Luis Potos¡,En construcción,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Fevisa Industrial, S. A. de C. V.E/1040/IMP/2013",30/04/2018,2018,31/03/2018
"Continental Structural Plastics de Tijuana, S. de R. L. de C. V.",E/1123/IMP/2014,12/03/2014,Importación,12,Baja California,En operación,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Continental Structural Plastics de Tijuana, S. de R. L. de C. V.E/1123/IMP/2014",30/04/2018,2018,31/03/2018
"Parker Hannifin de M‚xico, S. A. de C. V.",E/1124/IMP/2014,12/03/2014,Importación,12,Baja California,En construcción,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Parker Hannifin de M‚xico, S. A. de C. V.E/1124/IMP/2014",30/04/2018,2018,31/03/2018
"Central Generadora El‚ctrica Huinal , S. de R. L. de C. V.",E/1255/EXP/2014,10/12/2014,Exportación,1027.52,Nuevo León,En operación,"Titulo de Permiso de Exportación de energ¡a el‚ctrica otorgado a Central Generadora El‚ctrica Huinal , S. de R. L. de C. V.E/1255/EXP/2014",30/04/2018,2018,31/03/2018
"Parker Hannifin de M‚xico, S. A. de C. V.",E/1364/IMP/2015,05/03/2015,Importación,12,Tamaulipas,En construcción,"Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Parker Hannifin de M‚xico, S. A. de C. V.E/1364/IMP/2015",30/04/2018,2018,31/03/2018
Frontera Mexico Generacion,AUT/002/2015,22/12/2015,Importación,4730,Tamaulipas,En operación,Titulo de Permiso de Importación de energ¡a el‚ctrica otorgado a Frontera Mexico GeneracionAUT/002/2015,30/04/2018,2018,31/03/2018
