TITULO,NOMBRE CORTO,DESCRIPCION,,,
"07. Generaci¢n e importaci¢n el‚ctrica por modalidad, tecnolog¡a y Estado",generaci¢n e importaci¢n,Generaci¢n e importaci¢n de energ¡a el‚ctrica de los permisionarios de generaci¢n e importaci¢n.,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Generaci¢n anual de energ¡a el‚ctrica por modalidad  2018,,,,
,1ø Trimestre,2ø Trimestre,3ø Trimestre,4ø Trimestre,Total
Total,"78,167.67","90,101.51","92,646.64","80,598.76","341,514.57"
AUT.,"9,837.71","9,742.22","10,593.55","10,428.82","40,602.30"
COG.,"4,496.20","4,481.29","4,526.60","4,603.89","18,107.97"
EXP.,"1,032.20","1,120.37","1,335.32","1,489.01","4,976.90"
GEN.,"40,186.17","51,713.90","51,589.30","40,388.27","183,877.64"
IMP.,42.96,69.02,92.72,63.34,268.05
A.IMP,796,"1,013.00","1,009.00",976.68,"3,794.68"
A.EXP, -   , -   , -   , -   , -   
P.I.E.,"21,390.29","21,606.61","23,337.39","22,396.20","88,730.50"
P.P.,39.33,44.75,26.62,38.69,149.38
U.P.C.,346.81,310.33,136.15,213.86,"1,007.15"
,,,,,
,Generaci¢n anual de energ¡a el‚ctrica por modalidad  2019,,,,
,1ø Trimestre,2ø Trimestre,3ø Trimestre,4ø Trimestre,Total
Total,"80,225.22", -   , -   , -   ,"80,225.22"
AUT.,"10,369.43",,,,"10,369.43"
COG.,"4,817.30",,,,"4,817.30"
EXP.,"1,464.28",,,,"1,464.28"
GEN.,"39,987.65",,,,"39,987.65"
IMP.,53.83,,,,53.83
A.IMP,744.29,,,,744.29
A.EXP, -   ,,,, -   
P.I.E.,"22,409.75",,,,"22,409.75"
P.P.,46.91,,,,46.91
U.P.C.,331.79,,,,331.79
,,,,,
,,,,,
,Generaci¢n anual de energ¡a el‚ctrica por entidad federativa 2018,,,,
,1ø Trimestre,2ø Trimestre,3ø Trimestre,4ø Trimestre,Total
Total,"78,167.67","90,101.51","92,646.64","80,598.76","341,514.57"
Aguascalientes,6.87,8.58,18.63,108.8,142.89
Baja California,"4,308.03","4,989.53","6,243.70","4,943.25","20,484.50"
Baja California Sur,637.12,848.26,"1,103.97",789.37,"3,378.72"
Campeche,774.21,895.83,"1,127.38",899.21,"3,696.63"
Chiapas,"2,460.30","5,422.81","3,000.84","1,173.81","12,057.77"
