NUM.,PERMISIONARIO,CENTRAL,MODALIDAD,FECHA DE OTORGAMIENTO,NUMERO DE PERMISO,CAPACIDAD AUTORIZADA (MW)
1,"PRODUCTORA DE PAPEL, S. A. DE C. V.",,COGENERACION,1994-07-20,07/COG/94,18
2,"FERSINSA GB, S. A. DE C. V.",,COGENERACION,1994-07-20,08/COG/94,6
3,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION ABKATUN-D,AUTOABASTECIMIENTO,1994-09-06,09/AUT/94,7.12
4,"ALMIDONES MEXICANOS, S. A. DE C. V.",,COGENERACION,1994-10-05,12/COG/94,12
5,"PAPELERA VERACRUZANA, S. A. DE C. V.",,AUTOABASTECIMIENTO,1995-03-01,20/AUT/95,1.26
6,"INNOPHOS FOSFATADOS DE MEXICO, S. DE R. L. DE C. V.",,COGENERACION,1995-03-01,22/COG/95,6.25
7,"BOSE, S. A. DE C. V.",,IMPORTACION,1996-03-04,E/31/IMP/96,5
8,"TERMOELECTRICA DEL GOLFO, S. DE R. L. DE C. V.",,AUTOABASTECIMIENTO,1996-05-24,E/35/AUT/96,290
9,"ENERTEK, S. A. DE C. V.",,COGENERACION,1996-05-24,E/36/COG/96,168
10,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION ABKATUN INYECCION DE AGUA,AUTOABASTECIMIENTO,1996-05-31,E/38/AUT/96,35.75
11,PEMEX-EXPLORACION Y PRODUCCION,CENTRO OPERATIVO CAYO ARCAS,AUTOABASTECIMIENTO,1996-05-31,E/39/AUT/96,5.5
12,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION KU-A,AUTOABASTECIMIENTO,1996-05-31,E/40/AUT/96,10.185
13,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION KU-H,AUTOABASTECIMIENTO,1996-05-31,E/41/AUT/96,14.85
14,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION NOHOCH-A,AUTOABASTECIMIENTO,1996-05-31,E/42/AUT/96,13.97
15,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION POL-A,AUTOABASTECIMIENTO,1996-05-31,E/43/AUT/96,9.174
16,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE REBOMBEO,AUTOABASTECIMIENTO,1996-05-31,E/44/AUT/96,4.65
17,"ENERGIA BIDARENA, S. DE R. L. DE C. V.",,COGENERACION,1996-06-21,E/46/COG/96,6.15
18,"INGREDION MEXICO, S. A. DE C. V.",,AUTOABASTECIMIENTO,1996-09-04,E/49/AUT/96,29.2
19,"RESIDUOS INDUSTRIALES MULTIQUIM, S. A. DE C. V.",,AUTOABASTECIMIENTO,1996-12-03,E/53/AUT/96,1.56
20,PEMEX-EXPLORACION Y PRODUCCION,SISTEMA DE BOMBEO ELECTROCENTRIFUGO PARA EL CAMPO EK-BALAM,AUTOABASTECIMIENTO,1996-12-13,E/54/AUT/96,16.736
21,"SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, INSTITUCION PUBLICA DESCENTRALIZADA DEL GOBIERNO DEL ESTADO DE NUEVO LEON",PLANTA DULCES NOMBRES,AUTOABASTECIMIENTO,1997-01-24,E/56/AUT/97,9.2
22,"AES MERIDA III, S. DE R. L. DE C. V.",,PRODUCCION INDEPENDIENTE,1997-02-19,E/57/PIE/97,531.5
23,"SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, INSTITUCION PUBLICA DESCENTRALIZADA DEL GOBIERNO DEL ESTADO DE NUEVO LEON",PLANTA NORTE,AUTOABASTECIMIENTO,1997-08-15,E/59/AUT/97,1.6
24,"FUERZA EOLICA DEL ISTMO, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-01-14,E/70/AUT/98,80
25,PEMEX-TRANSFORMACION INDUSTRIAL,COMPLEJO PROCESADOR DE GAS CACTUS,COGENERACION,1998-01-23,E/73/COG/98,120.7
26,PEMEX-TRANSFORMACION INDUSTRIAL,COMPLEJO PETROQUIMICO MORELOS,COGENERACION,1998-02-13,E/74/COG/98,172
27,PEMEX-TRANSFORMACION INDUSTRIAL,COMPLEJO PETROQUIMICO CANGREJERA,COGENERACION,1998-02-13,E/75/COG/98,163.5
28,"PETROQUIMICA MEXICANA DE VINILO, S. A. DE C. V.",,COGENERACION,1998-02-13,E/76/COG/98,58.5
29,"AGROINDUSTRIAS DEL BALSAS, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-03-11,E/77/AUT/98,15
30,"PIASA INGENIO PLAN DE SAN LUIS, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-03-11,E/78/AUT/98,9
31,PEMEX-TRANSFORMACION INDUSTRIAL,GERENCIA DE TERMINAL LOGISTICA PAJARITOS,AUTOABASTECIMIENTO,1998-03-20,E/80/AUT/98,49.69
32,"INGENIO PRESIDENTE BENITO JUAREZ, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-03-27,E/81/AUT/98,14
33,"MEXICANA DE COBRE, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-04-18,E/84/AUT/98,36.5
34,"GRUPO AZUCARERO SAN PEDRO, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-04-24,E/85/AUT/98,10
35,"CORPORATIVO AZUCARERO EMILIANO ZAPATA, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-04-24,E/86/AUT/98,8.6
36,"CENTRAL SAN MIGUELITO, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-05-22,E/87/AUT/98,5.2
37,"INDUSTRIAL AZUCARERA SAN CRISTOBAL, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-05-22,E/88/AUT/98,24.2
38,"MINERA BISMARK, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-05-22,E/89/AUT/98,3.2
39,"INGENIO LAZARO CARDENAS, S. A. DE C. V.",,GENERACION,1998-05-22,E/91/GEN/98,8
40,"AZSUREMEX, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-05-22,E/92/AUT/98,2.5
41,"ALTOS HORNOS DE MEXICO, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-06-12,E/94/AUT/98,260.3
42,"STYROLUTION MEXICANA, S. A. DE C. V.",,COGENERACION,1998-06-26,E/96/COG/98,10.6
43,"INGENIO TALA, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-07-15,E/98/AUT/98,12
44,"INGENIO SAN FRANCISCO AMECA, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-07-15,E/99/AUT/98,4.5
45,"GPI MEXICANA, S. A. DE C. V.",,IMPORTACION,1998-07-22,E/102/IMP/98,1.5
46,PEMEX-EXPLORACION Y PRODUCCION,CENTRO DE PROCESO AKAL-C,AUTOABASTECIMIENTO,1998-08-12,E/103/AUT/98,27.771
47,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION AKAL-J,AUTOABASTECIMIENTO,1998-08-12,E/104/AUT/98,16.93
48,PEMEX-EXPLORACION Y PRODUCCION,CENTRO DE PROCESO AKAL-N,AUTOABASTECIMIENTO,1998-08-12,E/105/AUT/98,5.66
49,PEMEX-EXPLORACION Y PRODUCCION,COMPLEJO MARINO DE PRODUCCION ABKATUN-A,AUTOABASTECIMIENTO,1998-08-12,E/106/AUT/98,14.52
50,PEMEX-EXPLORACION Y PRODUCCION,CENTRO DE PROCESO Y TRANSPORTE DE GAS ATASTA,AUTOABASTECIMIENTO,1998-08-13,E/107/AUT/98,8.1
51,"INGENIO EL MOLINO, S. A. DE C.V.",,AUTOABASTECIMIENTO,1998-09-11,E/108/AUT/98,10
52,"MAGNELEC, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-09-18,E/111/AUT/98,16.2
53,"PAPELERA INDUSTRIAL POTOSINA, S. DE R. L. DE C. V.",,GENERACION,1998-10-09,E/113/GEN/98,6.53
54,"CERVECERIA CUAUHTEMOC MOCTEZUMA, S. A. DE C. V.",PLANTA ORIZABA,AUTOABASTECIMIENTO,1998-10-16,E/114/AUT/98,10
55,"INGENIO TAMAZULA, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-10-26,E/116/AUT/98,10.47
56,"INGENIO ALIANZA POPULAR, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-11-03,E/119/AUT/98,6.395
57,"GENERADORA ELECTRICA SAN RAFAEL, S. A. P. I. DE C. V.",,AUTOABASTECIMIENTO,1998-11-11,E/121/AUT/98,28.8
58,"FUERZA Y ENERGIA DE HERMOSILLO, S. A. DE C. V.",,PRODUCCION INDEPENDIENTE,1998-11-23,E/124/PIE/98,252.7
59,"INGENIO ELDORADO, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-12-03,E/125/AUT/98,9.6
60,"CENTRAL ANAHUAC, S. A. DE C. V.",,PRODUCCION INDEPENDIENTE,1998-12-16,E/128/PIE/98,528.7
61,"INGENIO TRES VALLES, S. A. DE C. V.",,AUTOABASTECIMIENTO,1998-12-16,E/129/AUT/98,12
62,"MEXICANA DE HIDROELECTRICIDAD MEXHIDRO, S. DE R. L. DE C. V.",,AUTOABASTECIMIENTO,1999-01-15,E/130/AUT/99,30
63,"ENVIROQUIP, S. DE R. L. DE C. V.",,IMPORTACION,1999-02-08,E/132/IMP/99,1.6
